Symb,alpha,Nu,H
S5E,1.1956352744733745,0.8100950445262728,0.1583669461522795
SSMI,1.7648753931690415,0.7775990328202348,0.231409457916831
IBEX,1.7005908809063774,0.8044591317160936,0.2027697358203892
GDAXI,1.4552362002610393,0.8574832998751604,0.20263749511522436
FTSE,1.4348078116766023,0.7970758351747192,0.19931235598540872
FCHI,1.2936147187383675,0.7814869816906108,0.18819853163955297
BFX,1.6707913410696775,0.7711256534351192,0.2159370796824753
AEX,1.267269883852044,0.7985377534168723,0.19052177828587777
SSEC,1.6435960811965875,0.8821342061170298,0.23576104433913347
NSEI,0.25724570533973196,0.6314900095042316,0.13229116467678356
N225,1.4624456221422812,0.721358031871786,0.23149270094050184
KSE,5.495687216777243,1.2829747976736792,0.3853868288818837
KS11,1.6345526670375068,0.8449665810197222,0.26673097548668745
HSI,2.0340978044972524,0.7145746486106046,0.2540662697158231
BSESN,1.3271183425409006,0.7599569723845259,0.1725861433091485
AORD,3.178341797281821,0.9577406055366104,0.3390054096125274
SPX,1.1884625529849318,0.8938872485427708,0.1806829104545921
RUT,1.3076736626689909,0.7975019260456769,0.15751535118231932
MXX,2.2213522983358667,0.7441752988324896,0.1600172688340567
IXIC,1.1326347714943756,0.8579246704202341,0.16702839113469206
DJI,1.217132436898401,0.8563258493548365,0.18044952632808417
BVSP,2.4989310084108194,0.7159662243449619,0.18170923923409615
